ID,airport_name,type,country,lat,long,elevation,service
KE-0157,Lowarengak Airport,small_airport,KE,4.284767,35.870662,,no
KE-0158,Lugard Falls South Airport,small_airport,KE,-3.048705,38.689706,,no
KE-0159,Malinda Estate Airstrip,small_airport,KE,-1.483679,37.098339,,no
KE-0160,Manyani Airport,small_airport,KE,-3.094749,38.476476,,no
KE-0161,Marinyn Airport,small_airport,KE,-0.436316,35.297992,,no
KE-0162,Mawingo Airport,small_airport,KE,-0.043513,37.145448,,no
KE-0163,Mbaruk Airport,small_airport,KE,-0.397362,36.215325,,no
KE-0164,Merti Airstrip,small_airport,KE,1.090173,38.599714,,no
KE-0165,Milmet Airport,small_airport,KE,-0.1115,36.124334,,no
KE-0166,Mount Elgon Orchards Airstrip,small_airport,KE,1.209714,34.796225,,no
KE-0167,Mpala Farm Airstrip,small_airport,KE,0.352756,36.894339,,no
KE-0168,Mpala Research Center Airstrip,small_airport,KE,0.290105,36.892422,,no
KE-0169,Mughwongo Hill Airport,small_airport,KE,0.121521,38.13033,,no
KE-0170,Mukenye Ranch Airstrip,small_airport,KE,0.251711,36.805338,,no
KE-0171,Mutomo Airport,small_airport,KE,-1.846779,38.204732,,no
KE-0172,Mwatate Airport,small_airport,KE,-3.517815,38.442556,2580.0,no
KE-0205,MacAlder Airport,closed,KE,-0.957591,34.306287,4074.0,no
KE-0207,Loisaba Airstrip,small_airport,KE,0.61196,36.800095,5744.0,no
KE-0209,Bahari East Airstrip,small_airport,KE,-2.446286,40.754641,,no
KE-0210,Matangeni East Airstrip,small_airport,KE,-2.447421,40.740016,,no
KE-0213,Former El Wak Airport,closed,KE,2.812043,40.932484,1295.0,no
KE-6002,Laisamis Airport,small_airport,KE,1.578228,37.810502,1866.0,no
KE-6007,Lokori Airport,small_airport,KE,1.968939,36.017375,1990.0,no
KE-6012,Arroket Airport,small_airport,KE,-0.624792,35.065847,5955.0,no
KE-6013,Balesa Airport,small_airport,KE,3.646972,37.350861,2000.0,no
KE-6018,Fig Tree  Airport,small_airport,KE,-1.433867,35.197504,5050.0,no
KE-6019,Head Office Delamere Estates Airport,small_airport,KE,-0.466199,36.191096,6500.0,no
KE-6020,Intona Ranch Airport,small_airport,KE,-1.142494,34.807464,5500.0,no
KE-6021,Karimbuni Airport,closed,KE,-0.802967,36.090611,9300.0,no
